,titles,budgets,film_page_urls,directors,director_page_urls
69,Transformers: The Last Knight,"                
            $217MM

",https://pro.imdb.com/title/tt3371366/?ref_=search_title_T1_result_70,Michael Bay,https://pro.imdb.com/name/nm0000881/?ref_=search_title_T1_result_s_70
70,Jumanji: Welcome to the Jungle,"                
            $90MM

",https://pro.imdb.com/title/tt2283362/?ref_=search_title_T1_result_71,Jake Kasdan,https://pro.imdb.com/name/nm0440458/?ref_=search_title_T1_result_s_71
71,Robin Hood,"                
            $100MM

",https://pro.imdb.com/title/tt4532826/?ref_=search_title_T1_result_72,Otto Bathurst,https://pro.imdb.com/name/nm1163264/?ref_=search_title_T1_result_s_72
72,The Croods,"                
            $135MM

",https://pro.imdb.com/title/tt0481499/?ref_=search_title_T1_result_73,Kirk DeMicco,https://pro.imdb.com/name/nm0210320/?ref_=search_title_T1_result_s_73
73,The Spy Who Dumped Me,"                
            $40MM

",https://pro.imdb.com/title/tt6663582/?ref_=search_title_T1_result_74,Susanna Fogel,https://pro.imdb.com/name/nm2573005/?ref_=search_title_T1_result_s_74
74,The Dark Knight Rises,"                
            $250MM

",https://pro.imdb.com/title/tt1345836/?ref_=search_title_T1_result_75,Christopher Nolan,https://pro.imdb.com/name/nm0634240/?ref_=search_title_T1_result_s_75
75,Call Me by Your Name,"                
            €4MM

",https://pro.imdb.com/title/tt5726616/?ref_=search_title_T1_result_76,Luca Guadagnino,https://pro.imdb.com/name/nm0345174/?ref_=search_title_T1_result_s_76
76,X-Men: Apocalypse,"                
            $178MM

",https://pro.imdb.com/title/tt3385516/?ref_=search_title_T1_result_77,Bryan Singer,https://pro.imdb.com/name/nm0001741/?ref_=search_title_T1_result_s_77
77,Veronica Mars,"                
            $6MM

",https://pro.imdb.com/title/tt2771372/?ref_=search_title_T1_result_78,Rob Thomas,https://pro.imdb.com/name/nm0859432/?ref_=search_title_T1_result_s_78
78,Fast Five,"                
            $125MM

",https://pro.imdb.com/title/tt1596343/?ref_=search_title_T1_result_79,Justin Lin,https://pro.imdb.com/name/nm0510912/?ref_=search_title_T1_result_s_79
79,Annihilation,"                
            $40MM

",https://pro.imdb.com/title/tt2798920/?ref_=search_title_T1_result_80,Alex Garland,https://pro.imdb.com/name/nm0307497/?ref_=search_title_T1_result_s_80
80,Power Rangers,"                
            $100MM

",https://pro.imdb.com/title/tt3717490/?ref_=search_title_T1_result_81,Dean Israelite,https://pro.imdb.com/name/nm2410311/?ref_=search_title_T1_result_s_81
81,Harry Potter and the Deathly Hallows: Part 2,"                
            $125MM

",https://pro.imdb.com/title/tt1201607/?ref_=search_title_T1_result_82,David Yates,https://pro.imdb.com/name/nm0946734/?ref_=search_title_T1_result_s_82
82,Fifty Shades of Grey,"                
            $40MM

",https://pro.imdb.com/title/tt2322441/?ref_=search_title_T1_result_83,Sam Taylor-Johnson,https://pro.imdb.com/name/nm0853374/?ref_=search_title_T1_result_s_83
83,Sing,"                
            $75MM

",https://pro.imdb.com/title/tt3470600/?ref_=search_title_T1_result_84,Garth Jennings,https://pro.imdb.com/name/nm1134029/?ref_=search_title_T1_result_s_84
84,Jurassic World,"                
            $150MM

",https://pro.imdb.com/title/tt0369610/?ref_=search_title_T1_result_85,Colin Trevorrow,https://pro.imdb.com/name/nm1119880/?ref_=search_title_T1_result_s_85
85,Instant Family,"                
            $48MM

",https://pro.imdb.com/title/tt7401588/?ref_=search_title_T1_result_86,Sean Anders,https://pro.imdb.com/name/nm1890845/?ref_=search_title_T1_result_s_86
86,The Town,"                
            $37MM

",https://pro.imdb.com/title/tt0840361/?ref_=search_title_T1_result_87,Ben Affleck,https://pro.imdb.com/name/nm0000255/?ref_=search_title_T1_result_s_87
87,John Wick: Chapter 2,"                
            $40MM

",https://pro.imdb.com/title/tt4425200/?ref_=search_title_T1_result_88,Chad Stahelski,https://pro.imdb.com/name/nm0821432/?ref_=search_title_T1_result_s_88
88,Jurassic World: Fallen Kingdom,"                
            $170MM

",https://pro.imdb.com/title/tt4881806/?ref_=search_title_T1_result_89,J.A. Bayona,https://pro.imdb.com/name/nm1291105/?ref_=search_title_T1_result_s_89
89,Vice,"                
            $60MM

",https://pro.imdb.com/title/tt6266538/?ref_=search_title_T1_result_90,Adam McKay,https://pro.imdb.com/name/nm0570912/?ref_=search_title_T1_result_s_90
90,Mile 22,"                
            $35MM

",https://pro.imdb.com/title/tt4560436/?ref_=search_title_T1_result_91,Peter Berg,https://pro.imdb.com/name/nm0000916/?ref_=search_title_T1_result_s_91
91,Ocean's Eight,"                
            $70MM

",https://pro.imdb.com/title/tt5164214/?ref_=search_title_T1_result_92,Gary Ross,https://pro.imdb.com/name/nm0002657/?ref_=search_title_T1_result_s_92
92,The Mummy,"                
            $125MM

",https://pro.imdb.com/title/tt2345759/?ref_=search_title_T1_result_93,Alex Kurtzman,https://pro.imdb.com/name/nm0476064/?ref_=search_title_T1_result_s_93
93,Kingsman: The Secret Service,"                
            $81MM

",https://pro.imdb.com/title/tt2802144/?ref_=search_title_T1_result_94,Matthew Vaughn,https://pro.imdb.com/name/nm0891216/?ref_=search_title_T1_result_s_94
94,The Darkest Minds,"                
            $34MM

",https://pro.imdb.com/title/tt4073790/?ref_=search_title_T1_result_95,Jennifer Yuh Nelson,https://pro.imdb.com/name/nm0950775/?ref_=search_title_T1_result_s_95
95,Mamma Mia! Here We Go Again,"                
            $70MM

",https://pro.imdb.com/title/tt6911608/?ref_=search_title_T1_result_96,Ol Parker,https://pro.imdb.com/name/nm0662530/?ref_=search_title_T1_result_s_96
96,The Upside,"                
            $38MM

",https://pro.imdb.com/title/tt1987680/?ref_=search_title_T1_result_97,Neil Burger,https://pro.imdb.com/name/nm1139726/?ref_=search_title_T1_result_s_97
97,Transformers: Age of Extinction,"                
            $210MM

",https://pro.imdb.com/title/tt2109248/?ref_=search_title_T1_result_98,Michael Bay,https://pro.imdb.com/name/nm0000881/?ref_=search_title_T1_result_s_98
98,Solo: A Star Wars Story,"                
            $300MM

",https://pro.imdb.com/title/tt3778644/?ref_=search_title_T1_result_99,Ron Howard,https://pro.imdb.com/name/nm0000165/?ref_=search_title_T1_result_s_99
99,Captain America: The First Avenger,"                
            $140MM

",https://pro.imdb.com/title/tt0458339/?ref_=search_title_T1_result_100,Joe Johnston,https://pro.imdb.com/name/nm0002653/?ref_=search_title_T1_result_s_100
100,The Conjuring,"                
            $20MM

",https://pro.imdb.com/title/tt1457767/?ref_=search_title_T1_result_101,James Wan,https://pro.imdb.com/name/nm1490123/?ref_=search_title_T1_result_s_101
101,The Shape of Water,"                
            $19MM

",https://pro.imdb.com/title/tt5580390/?ref_=search_title_T1_result_102,Guillermo del Toro,https://pro.imdb.com/name/nm0868219/?ref_=search_title_T1_result_s_102
102,Pirates of the Caribbean: Dead Men Tell No Tales,"                
            $230MM

",https://pro.imdb.com/title/tt1790809/?ref_=search_title_T1_result_103,Joachim Rønning,https://pro.imdb.com/name/nm1461392/?ref_=search_title_T1_result_s_103
103,The Magnificent Seven,"                
            $90MM

",https://pro.imdb.com/title/tt2404435/?ref_=search_title_T1_result_104,Antoine Fuqua,https://pro.imdb.com/name/nm0298807/?ref_=search_title_T1_result_s_104
104,Bumblebee,"                
            $135MM

",https://pro.imdb.com/title/tt4701182/?ref_=search_title_T1_result_105,Travis Knight,https://pro.imdb.com/name/nm1325899/?ref_=search_title_T1_result_s_105
105,Prisoners,"                
            $46MM

",https://pro.imdb.com/title/tt1392214/?ref_=search_title_T1_result_106,Denis Villeneuve,https://pro.imdb.com/name/nm0898288/?ref_=search_title_T1_result_s_106
106,Room,"                
            $13MM

",https://pro.imdb.com/title/tt3170832/?ref_=search_title_T1_result_107,Lenny Abrahamson,https://pro.imdb.com/name/nm1049433/?ref_=search_title_T1_result_s_107
107,The Revenant,"                
            $135MM

",https://pro.imdb.com/title/tt1663202/?ref_=search_title_T1_result_108,Alejandro G. Iñárritu,https://pro.imdb.com/name/nm0327944/?ref_=search_title_T1_result_s_108
108,Logan Lucky,"                
            $29MM

",https://pro.imdb.com/title/tt5439796/?ref_=search_title_T1_result_109,Steven Soderbergh,https://pro.imdb.com/name/nm0001752/?ref_=search_title_T1_result_s_109
109,The Cabin in the Woods,"                
            $30MM

",https://pro.imdb.com/title/tt1259521/?ref_=search_title_T1_result_110,Drew Goddard,https://pro.imdb.com/name/nm1206844/?ref_=search_title_T1_result_s_110
110,47 Meters Down,"                
            $5.5MM

",https://pro.imdb.com/title/tt2932536/?ref_=search_title_T1_result_111,Johannes Roberts,https://pro.imdb.com/name/nm1266897/?ref_=search_title_T1_result_s_111
111,American Made,"                
            $50MM

",https://pro.imdb.com/title/tt3532216/?ref_=search_title_T1_result_112,Doug Liman,https://pro.imdb.com/name/nm0510731/?ref_=search_title_T1_result_s_112
112,"Three Billboards Outside Ebbing, Missouri","                
            $15MM

",https://pro.imdb.com/title/tt5027774/?ref_=search_title_T1_result_113,Martin McDonagh,https://pro.imdb.com/name/nm1732981/?ref_=search_title_T1_result_s_113
113,Thor,"                
            $150MM

",https://pro.imdb.com/title/tt0800369/?ref_=search_title_T1_result_114,Kenneth Branagh,https://pro.imdb.com/name/nm0000110/?ref_=search_title_T1_result_s_114
114,Star Wars: The Last Jedi,"                
            $317MM

",https://pro.imdb.com/title/tt2527336/?ref_=search_title_T1_result_115,Rian Johnson,https://pro.imdb.com/name/nm0426059/?ref_=search_title_T1_result_s_115
115,The Predator,"                
            $88MM

",https://pro.imdb.com/title/tt3829266/?ref_=search_title_T1_result_116,Shane Black,https://pro.imdb.com/name/nm0000948/?ref_=search_title_T1_result_s_116
116,Holmes & Watson,"                
            $42MM

",https://pro.imdb.com/title/tt1255919/?ref_=search_title_T1_result_117,Etan Cohen,https://pro.imdb.com/name/nm1000113/?ref_=search_title_T1_result_s_117
117,The Nun,"                
            $22MM

",https://pro.imdb.com/title/tt5814060/?ref_=search_title_T1_result_118,Corin Hardy,https://pro.imdb.com/name/nm2379028/?ref_=search_title_T1_result_s_118
118,Arrival,"                
            $47MM

",https://pro.imdb.com/title/tt2543164/?ref_=search_title_T1_result_119,Denis Villeneuve,https://pro.imdb.com/name/nm0898288/?ref_=search_title_T1_result_s_119
119,Wonder,"                
            $20MM

",https://pro.imdb.com/title/tt2543472/?ref_=search_title_T1_result_120,Stephen Chbosky,https://pro.imdb.com/name/nm0154716/?ref_=search_title_T1_result_s_120
120,Ant-Man and the Wasp,"                
            $162MM

",https://pro.imdb.com/title/tt5095030/?ref_=search_title_T1_result_121,Peyton Reed,https://pro.imdb.com/name/nm0715636/?ref_=search_title_T1_result_s_121
121,The Big Short,"                
            $28MM

",https://pro.imdb.com/title/tt1596363/?ref_=search_title_T1_result_122,Adam McKay,https://pro.imdb.com/name/nm0570912/?ref_=search_title_T1_result_s_122
122,Sucker Punch,"                
            $82MM

",https://pro.imdb.com/title/tt0978764/?ref_=search_title_T1_result_123,Zack Snyder,https://pro.imdb.com/name/nm0811583/?ref_=search_title_T1_result_s_123
123,Halloween,"                
            $10MM

",https://pro.imdb.com/title/tt1502407/?ref_=search_title_T1_result_124,David Gordon Green,https://pro.imdb.com/name/nm0337773/?ref_=search_title_T1_result_s_124
124,Creed II,"                
            $50MM

",https://pro.imdb.com/title/tt6343314/?ref_=search_title_T1_result_125,Steven Caple Jr.,https://pro.imdb.com/name/nm4023702/?ref_=search_title_T1_result_s_125
125,The Huntsman: Winter's War,"                
            $115MM

",https://pro.imdb.com/title/tt2381991/?ref_=search_title_T1_result_126,Cedric Nicolas-Troyan,https://pro.imdb.com/name/nm1031639/?ref_=search_title_T1_result_s_126
126,Incredibles 2,"                
            $200MM

",https://pro.imdb.com/title/tt3606756/?ref_=search_title_T1_result_127,Brad Bird,https://pro.imdb.com/name/nm0083348/?ref_=search_title_T1_result_s_127
127,Split,"                
            $9MM

",https://pro.imdb.com/title/tt4972582/?ref_=search_title_T1_result_128,M. Night Shyamalan,https://pro.imdb.com/name/nm0796117/?ref_=search_title_T1_result_s_128
128,La La Land,"                
            $30MM

",https://pro.imdb.com/title/tt3783958/?ref_=search_title_T1_result_129,Damien Chazelle,https://pro.imdb.com/name/nm3227090/?ref_=search_title_T1_result_s_129
129,Me Before You,"                
            $20MM

",https://pro.imdb.com/title/tt2674426/?ref_=search_title_T1_result_130,Thea Sharrock,https://pro.imdb.com/name/nm4824763/?ref_=search_title_T1_result_s_130
130,Doctor Strange,"                
            $165MM

",https://pro.imdb.com/title/tt1211837/?ref_=search_title_T1_result_131,Scott Derrickson,https://pro.imdb.com/name/nm0220600/?ref_=search_title_T1_result_s_131
131,Spotlight,"                
            $20MM

",https://pro.imdb.com/title/tt1895587/?ref_=search_title_T1_result_132,Tom McCarthy,https://pro.imdb.com/name/nm0565336/?ref_=search_title_T1_result_s_132
132,Scott Pilgrim vs. the World,"                
            $60MM

",https://pro.imdb.com/title/tt0446029/?ref_=search_title_T1_result_133,Edgar Wright,https://pro.imdb.com/name/nm0942367/?ref_=search_title_T1_result_s_133
133,Coco,"                
            $175MM

",https://pro.imdb.com/title/tt2380307/?ref_=search_title_T1_result_134,Lee Unkrich,https://pro.imdb.com/name/nm0881279/?ref_=search_title_T1_result_s_134
134,Her,"                
            $23MM

",https://pro.imdb.com/title/tt1798709/?ref_=search_title_T1_result_135,Spike Jonze,https://pro.imdb.com/name/nm0005069/?ref_=search_title_T1_result_s_135
135,Snow White and the Huntsman,"                
            $170MM

",https://pro.imdb.com/title/tt1735898/?ref_=search_title_T1_result_136,Rupert Sanders,https://pro.imdb.com/name/nm2782185/?ref_=search_title_T1_result_s_136
